,COMPND,AUTHOR,MASTER,vina_affinity,vina_rmsd_lb,vina_rmsd_ub,vina_rmsd_input,vina_rmsd_input_min,vina_gauss1,vina_gauss2,vina_repulsion,vina_hydrophobic,vina_hydrogen,vina_intra_gauss1,vina_intra_gauss2,vina_intra_repulsion,vina_intra_hydrophobic,vina_intra_hydrogen,vina_num_rotors,rfscore_v3,name
194,5892,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   71    0   71    0,-8.552935544034435,3.2760000000000002,10.243,4.3402650000000005,4.3402650000000005,105.27888050481852,1738.9151158871412,2.1114872280090435,8.29332066698753,4.8016578173556015,62.9184507672674,563.431136159678,1.6619268516544556,0.0,3.6470356192606164,11.0,5.9599778071373155,CD38_Nico_dock.pdb
69,5893,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   72    0   72    0,-8.46771841550673,7.107,11.572000000000001,11.566811999999999,11.566811999999999,112.43980543552959,1473.2681658574672,3.889773030824769,19.579431773550155,8.333808683470401,48.52019829564455,575.0669925057857,1.6031439065359139,0.0,4.6055998333590535,11.0,6.335072353146857,CD38_CD38L_dock.pdb
193,5892,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   71    0   71    0,-8.453269193528518,2.1,9.894,3.5879362,3.5879362,109.05285422478687,1756.6176298054556,2.194172997788177,18.357509917109876,3.6546440535214098,43.16454131820176,488.61017503531946,0.8833083531963704,0.0,2.8461445513645853,11.0,5.934224326839838,CD38_Nico_dock.pdb
144,192764,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   94    0   94    0,-8.334945099104765,0.0,0.0,1.6670578,1.5354276000000002,158.00548416842275,1848.038905541486,2.4059950168297592,80.28805940372119,3.6267117634306767,76.17729803283815,847.9974052974992,1.4553103939718135,5.964456026059728,1.8168004587986872,20.0,7.628108510073264,CD38_Gast_dock.pdb
71,5893,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   72    0   72    0,-8.265330515415371,4.221,7.444,7.391483,7.391483,104.72082613837931,1766.2570402183505,2.491180013043024,8.362224342240344,4.329131346806948,62.14067429263074,596.4284880379279,1.9723449570704727,0.0,3.7772462495616255,11.0,6.1468119829614905,CD38_CD38L_dock.pdb
70,5893,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   72    0   72    0,-8.105124083482362,5.974,9.946,9.759761,9.759761,101.91283070968052,1574.8562424435545,3.2086252950964282,17.009696594358562,6.242966515074799,91.127236638011,682.8936376708747,2.161315932078984,0.0,4.010355074975125,11.0,6.387117839493844,CD38_CD38L_dock.pdb
197,5892,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   71    0   71    0,-8.036331198812007,2.384,4.091,9.713045,9.713045,103.9156585848533,1838.6190047917928,1.9618406517868576,9.61427872680854,2.2683539677871982,52.987073111010396,455.69786784940425,1.8949361077834923,0.0,5.513919539039407,11.0,6.108988068931078,CD38_Nico_dock.pdb
64,5893,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   72    0   72    0,-7.997151730731358,4.958,7.579,7.4821258,7.4821258,103.34464476563534,1644.9769789935026,1.764566217850485,8.592457622891303,3.6742907404170695,109.90342131526913,712.5141428166662,3.4604837171359564,0.0,6.000722960741588,11.0,6.204619759296262,CD38_CD38L_dock.pdb
68,5893,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   72    0   72    0,-7.909080241376245,6.62,10.672,10.516401,10.516401,91.93223536322188,1440.6389846691159,2.894902785601333,19.59503997567333,6.87567474214226,85.09819407152077,731.1394781831606,1.569710120334142,0.0,4.397926868288854,11.0,6.248572889721396,CD38_CD38L_dock.pdb
155,    ***** ,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0  120    0  120    0,-7.827478177870496,3.5989999999999998,7.281000000000001,7.63961,7.63961,159.23370252225138,1971.5608235231475,2.5837922827418973,97.78794759605059,2.918760540563715,144.10818671721893,1075.283275739729,3.4141730495918896,47.473463272260396,3.5723325536503348,24.0,7.605619886890892,CD38_GHRP6_dock.pdb
151,192764,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   94    0   94    0,-7.647847191924182,4.056,9.645,9.396510000000001,9.376339,143.15508975348664,1974.030030911601,2.64128885538217,81.23930786628327,1.1596170087938118,123.77864746943274,830.3448579620583,4.3291996323460005,18.403415487759915,4.100145578319548,20.0,7.688448866744371,CD38_Gast_dock.pdb
147,192764,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   94    0   94    0,-7.636098027176978,3.752,10.479000000000001,10.591014999999999,10.566619000000001,109.64783915126301,1990.762067727556,0.9737893953166497,61.39903713032132,1.801387162702884,123.77478012130379,740.5316827812102,1.1661483537236592,16.865369173983517,0.931477339571906,20.0,7.380543863858362,CD38_Gast_dock.pdb
154,    ***** ,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0  120    0  120    0,-7.520437178675404,3.509,7.43,2.3420317,2.287892,124.60466922957451,2104.1815878874945,2.4924425632727827,77.1932856754856,3.696414285183879,175.46129478720619,1328.5787334514544,3.8956502154813992,64.21417917427577,1.5900555052989482,24.0,7.566635679709184,CD38_GHRP6_dock.pdb
39,439201,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0  149    0  149    0,-7.433207443060735,3.721,10.139,7.907922999999999,7.8959136,135.2266763695257,2553.7350142730684,3.201946459685077,70.42804466715957,5.348547609821806,183.9377035530687,1316.9330381768245,4.296698207860297,52.700624988714544,2.3173661473063683,31.0,6.9492772110667085,CD38_Brad_dock.pdb
