,COMPND,AUTHOR,MASTER,vina_affinity,vina_rmsd_lb,vina_rmsd_ub,vina_rmsd_input,vina_rmsd_input_min,vina_gauss1,vina_gauss2,vina_repulsion,vina_hydrophobic,vina_hydrogen,vina_intra_gauss1,vina_intra_gauss2,vina_intra_repulsion,vina_intra_hydrophobic,vina_intra_hydrogen,vina_num_rotors,rfscore_v3,name
188,5892,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   71    0   71    0,-10.031437331523996,4.423,10.414000000000001,8.951210000000001,8.951210000000001,114.6518253986225,2182.1911410629777,2.67510130532214,16.940233201677554,4.765653992121764,75.48841741083658,565.7520363139673,1.566666906289397,0.0,3.1072900422606198,11.0,5.970084034632037,B2AR_Nico_dock.pdb
4,5893,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   72    0   72    0,-10.018826044551188,3.3360000000000003,6.24,7.1813784,7.1813784,117.51465433411465,2229.619541614189,2.4115724561451524,13.056461757626915,3.9949252651880895,68.14428711325402,602.8944261780273,2.2933282735065186,0.0,4.623088822915623,11.0,5.956204560772567,B2AR_CD38L_dock.pdb
2,5893,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   72    0   72    0,-9.99421703700104,3.695,7.202999999999999,7.857745599999999,7.857745599999999,126.10367744035185,2326.4950477162824,3.2537701331590827,14.006286972266315,3.701936245904173,52.16086976806557,652.4585195057509,1.407986953304328,0.0,4.866354173905833,11.0,5.766855534909547,B2AR_CD38L_dock.pdb
39,192764,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   94    0   94    0,-9.985050091500002,2.6839999999999997,4.67,8.857224,8.833985,157.6222991895412,2723.7184288263925,1.9371445856487188,82.6612015867618,1.239541790311304,102.53556210202551,774.8448324269436,1.0310118565361697,24.493965074591824,1.1702438016915897,20.0,7.901584100344106,B2AR_Gast_dock.pdb
40,192764,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   94    0   94    0,-9.942253955751157,2.024,3.054,9.793892,9.757024000000001,143.65704069510195,2728.1619812319627,3.0355378644543363,88.93609232376497,3.085825515596155,108.98795542487652,795.3904970822122,3.3652372425979413,17.02629834106957,3.451848440269834,20.0,7.858703137251638,B2AR_Gast_dock.pdb
41,192764,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   94    0   94    0,-9.905573033723304,2.785,5.763999999999999,10.903253,10.903253,151.60885962121972,2639.618599184364,2.66905414441426,86.4140097297713,2.8726743588855914,99.18785931063732,750.9046282925326,1.8242559460680607,11.117329218382983,0.8222282080228397,20.0,7.870407038406043,B2AR_Gast_dock.pdb
186,5892,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   71    0   71    0,-9.879183415529745,3.883,10.716,8.336393,8.336393,105.12144112984646,2336.8043235360988,3.616750189074924,16.607882762531702,4.925618064075639,64.70610850629129,592.187980020781,2.651207186465779,0.0,6.586207720378046,11.0,5.915878059440564,B2AR_Nico_dock.pdb
6,5893,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   72    0   72    0,-9.825753473201685,3.4589999999999996,6.582999999999999,8.852155999999999,8.852155999999999,99.02816527486,2177.0222337237587,1.7431533909892811,11.997692948373118,4.144664820017822,85.42825509064818,584.4459889313144,1.05198790724845,0.0,2.3577481973928145,11.0,5.950983407092912,B2AR_CD38L_dock.pdb
44,192764,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   94    0   94    0,-9.801955215897063,2.891,9.875,4.5521455,4.503545,147.76480676538853,2718.7837234158037,2.224297128576976,85.48452145737953,1.4459873418635214,92.1185932868076,755.7332176032245,3.749139654896819,9.964363692860562,3.828208779836588,20.0,8.178712276501281,B2AR_Gast_dock.pdb
43,192764,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   94    0   94    0,-9.758441032207363,3.213,7.406000000000001,6.829607000000001,6.822247,140.9139953325915,2651.041442705297,2.549271357887429,85.87135180804029,2.7380041803298445,116.97571345239618,798.3512063399178,5.281414435132188,32.10159221920409,3.9730060195336394,20.0,8.074361376678885,B2AR_Gast_dock.pdb
