,COMPND,AUTHOR,MASTER,vina_affinity,vina_rmsd_lb,vina_rmsd_ub,vina_rmsd_input,vina_rmsd_input_min,vina_gauss1,vina_gauss2,vina_repulsion,vina_hydrophobic,vina_hydrogen,vina_intra_gauss1,vina_intra_gauss2,vina_intra_repulsion,vina_intra_hydrophobic,vina_intra_hydrogen,vina_num_rotors,rfscore_v3,name
107,439260,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   23    0   23    0,-4.374410372346011,2.823,4.868,4.6678777,4.6678777,43.73547100403793,492.3322541827773,1.9945517053689144,2.269260790527242,4.062302496330487,5.1134738034891765,24.7645620819208,0.0,0.0,0.0,2.0,4.11733623765124,CD48_Nore_dock.pdb
125,681,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   22    0   22    0,-4.3736050936395365,47.942,48.88,49.75992,49.75992,39.86759959149065,396.5389886043322,1.3716290627063992,17.851950295546967,3.3142318913792463,4.974293639210323,17.557425962198156,0.011371937382967785,0.0,0.0,2.0,4.11963515789766,CD48_Dop_dock.pdb
213,6483057,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   66    0   66    0,-4.36688138581142,60.79600000000001,62.516000000000005,63.11628,63.115230000000004,57.29892648424126,822.439132908696,1.373578573511726,54.984927893210575,2.810821546935566,48.576706666598504,143.2598935648663,0.5934933297701211,91.00179488817085,1.1821378251576664,17.0,5.691826650238649,CD48_2Araether_dock.pdb
44,5202,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   25    0   25    0,-4.365217901187616,2.326,4.484,4.5275836,4.5275836,48.2503190583943,506.6147468662362,1.486669783680433,17.154944444541222,2.028567311083679,8.748384112104503,28.248541904204345,0.017098747722476472,2.6705362521961793,0.0,2.0,3.676910723276721,CD48_Sero_dock.pdb
130,7172,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   25    0   25    0,-4.365062733722212,25.250999999999998,26.57,39.809673,39.79996,39.35007656955479,455.88137214349763,0.7988624731295983,26.25616373966065,1.9205685988426493,6.419290398661169,28.018174727668363,0.0,0.0,0.0,3.0,4.127299124819622,CD48_Syn_dock.pdb
74,33032,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   19    0   19    0,-4.360203649844968,2.7039999999999997,3.463,3.5285704,3.5285704,65.6284903561141,420.906144464097,1.8048263828321989,2.8646787828039786,3.897351410730692,3.3172155346008183,18.220269770561444,0.00725676750211969,0.0,0.0,4.0,4.519125495504495,CD48_Glut_dock.pdb
106,439260,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   23    0   23    0,-4.3599886654625735,25.93,26.523000000000003,27.209694,27.209694,46.4850012121791,456.47644485276976,2.105562792802171,22.625540831897265,3.1249388474992434,2.8190127820701028,25.637336906210194,0.0,0.0,0.0,2.0,4.262232043900543,CD48_Nore_dock.pdb
88,1150,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   24    0   24    0,-4.3570145552168125,63.226000000000006,64.71600000000001,48.219196000000004,48.219196000000004,46.64068484814378,387.94473816501113,1.0708301638478983,32.19518053883722,1.65933309943927,4.974176429995691,20.812347658669573,0.0,4.068588723022087,0.0,2.0,3.4022749036519047,CD48_Tryp_dock.pdb
205,5282280,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   65    0   65    0,-4.344692911887317,2.418,4.399,3.9318062999999994,3.9318062999999994,73.26885562809913,800.6605613469404,1.7856009925902314,57.63936216423768,2.3892222788070905,69.25797623646511,228.94234406135186,1.4300009455818448,112.77974794482323,0.5452830674789183,17.0,5.798791246364742,CD48_2Ara_dock.pdb
81,1150,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   24    0   24    0,-4.338654558333566,0.0,0.0,25.13699,25.13699,47.638150397783924,423.0734828850643,0.8192315150248416,37.092924619648684,0.6022021026946347,8.013046715594871,18.970456961821373,0.004477799094817858,4.067870128074547,0.0,2.0,3.3924155056055043,CD48_Tryp_dock.pdb
85,1150,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   24    0   24    0,-4.327640757184794,23.15,24.364,2.7368957999999997,2.7368957999999997,48.1534086277273,398.27023833666016,0.7565965659693609,28.740751374804773,1.1778188943266972,7.526812191968852,19.62310502265981,7.432786730199222e-05,4.0708223533054015,0.0,2.0,3.2910230106560103,CD48_Tryp_dock.pdb
185,4581,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   22    0   22    0,-4.2943446227657835,26.061,27.085,27.059288000000002,27.059288000000002,41.69890174897333,415.8957959761311,1.1882910009572734,26.92030703546202,2.077583301513608,2.845200967072997,19.10906106594472,0.0,0.0,0.0,2.0,4.223115815795315,CD48_Octo_dock.pdb
100,439260,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   23    0   23    0,-4.2901872966347145,2.255,3.1510000000000002,0.30121684,0.30121684,43.63180592749753,492.09203183663396,2.817709277108285,3.517047361881485,5.01376399559447,3.1990365550486564,25.451655305648824,0.0,0.0,0.0,2.0,4.395355516927515,CD48_Nore_dock.pdb
20,5281969,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   62    0   62    0,-4.250024799884324,19.022000000000002,21.08,8.267299000000001,8.267299000000001,61.345348092680204,818.2881334193033,1.1993739350643655,57.80957570588461,1.786663204435739,63.59229904633375,146.3912805437094,1.098836166673987,92.9245910012557,0.0,17.0,5.477015116716618,CD48_Anan_dock.pdb
182,4581,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   22    0   22    0,-4.2469802166797725,78.767,79.75399999999999,79.7567,79.7567,45.80520718620357,370.1409173286432,1.3904141122429663,28.36879240977089,2.3432498015124232,3.0185775899633085,18.825214942845694,0.0,0.0,0.0,2.0,4.106457351981357,CD48_Octo_dock.pdb
